name,yelp_id,category_id,rating,review_count,price,distance,latitude,longitude,bike_station_id
Delara,hhEZldyc-CZMP3WYysiqgg,13065,4.5,31,,63,49.2680486,-123.1569183,3596b4831ee2ea7812de753b32306835
Maria's Taverna,xkZuQgCjBgUYmS0BFEzMNA,13065,3.5,98,$$,60,49.2680721,-123.1583754,3596b4831ee2ea7812de753b32306835
Kokomo,S4DFeNGphgug2E-dLfiLXg,13065,4.5,24,,50,49.267889271995834,-123.1573825,3596b4831ee2ea7812de753b32306835
Simit Bakery Cafe,phdll2c9FSjRgzcff1ToXw,13065,4.5,8,,63,49.2680486,-123.1569183,3596b4831ee2ea7812de753b32306835
Hi-Nippon Japanese Restaurant,jZPYyfrEhn1jIlo2MXFPuA,13065,3.5,95,$$,43,49.2682170438708,-123.156875551101,3596b4831ee2ea7812de753b32306835
Peaceful Restaurant,UQdyq5zuBkHWYd2Wf6MphQ,13065,3.0,110,$$,161,49.26798,-123.15965,3596b4831ee2ea7812de753b32306835
Simpatico Restaurant,H77Vta14jWG5hMjR2sOowg,13065,3.0,100,$$,120,49.2680323,-123.1558041,3596b4831ee2ea7812de753b32306835
Jackson's Meat & Deli,0oKwa2WCwNOxbcKJUd5Erw,13065,4.5,62,$$,125,49.2680597,-123.1557696,3596b4831ee2ea7812de753b32306835
Taqueria,MZK1T4hItltnLz2sDFOYcg,13065,0.0,0,,31,49.2683201,-123.1569592,3596b4831ee2ea7812de753b32306835
Bistrot Van,O07_DHUjRD3r7PGcHBjBnA,13065,5.0,1,,15,49.2682096,-123.1575029,3596b4831ee2ea7812de753b32306835
Market Cocina,x45Bt0E_1UONdLEgBbzfUA,13065,0.0,0,,19,49.268359,-123.157172,3596b4831ee2ea7812de753b32306835
McDonald's,CYZF6XoBHy-Wm_0K9rSWQQ,13065,2.0,13,$,146,49.2684244908126,-123.159454209781,3596b4831ee2ea7812de753b32306835
Best Burrito,Nrmsdtg10pyX2Qm2nZcVSg,13065,3.5,46,$,134,49.2631493,-123.1052246,35eb539fb9298bb7e4f6759ca0256505
Subway,fgcDftf7FDOS3RR2oUzuPg,13065,4.0,4,,156,49.2629571,-123.1029989,35eb539fb9298bb7e4f6759ca0256505
Bogo Korean Kitchen,f487JfkiUJ4RUfo_8J5IEA,13065,0.0,0,,172,49.26325,-123.10619,35eb539fb9298bb7e4f6759ca0256505
Caffè Artigiano,OjbCtJfCjwluw2I5jqw31g,13065,4.0,2,,197,49.26307745377281,-123.10688741505146,35eb539fb9298bb7e4f6759ca0256505
BOGO Korean Kitchen,LWU4a7ejo8RIffxOQAdpZw,13065,4.0,5,,174,49.2632045083367,-123.106305973945,35eb539fb9298bb7e4f6759ca0256505
New India Buffet,ekPyuvkj1LW930eYy3kKlw,13065,2.5,251,$$,182,49.263479,-123.124468,ace20c241ee38643c9060f290b215b9d
Yanaki Sushi,GOTYtiGZ1fxE3jw6_7R0yg,13065,4.0,75,$$,134,49.2657961,-123.1219663,ace20c241ee38643c9060f290b215b9d
Chef's Choice Chinese Cuisine,pmy369Opdr4H0xkylCDwUg,13065,4.0,24,,195,49.2636682,-123.1254885,ace20c241ee38643c9060f290b215b9d
Deja Brew,qfM6Z2kPIRG0k0EAy4XmSw,13065,4.5,52,$$,181,49.2636604,-123.1251297,ace20c241ee38643c9060f290b215b9d
Szechuan Chili,KegXVBaMI6qypE4ADDOSjw,13065,3.5,56,$,148,49.2657951,-123.1219401,ace20c241ee38643c9060f290b215b9d
One Noodle,XEA_zIq5rLSmd6hbnrD6kA,13065,3.0,13,,164,49.2635900919731,-123.123886249959,ace20c241ee38643c9060f290b215b9d
Tim Hortons,WBrIIS-lf-nvQYSOWnvnOw,13065,1.5,11,,131,49.26571530868987,-123.12233752526775,ace20c241ee38643c9060f290b215b9d
Halfday Tea + Flower,VVX2hhE3GWwjXGmIXhUZrA,13065,4.5,6,,167,49.2635709085802,-123.124036450926,ace20c241ee38643c9060f290b215b9d
Kisokoma,YDUT6xwpjnF4jLBbIALcrg,13065,3.5,35,$,178,49.26379,-123.12224,ace20c241ee38643c9060f290b215b9d
Legendary Noodle,KZGZMLEpXGPBJ5T6xuN6Yg,13065,3.5,8,,169,49.2635149,-123.1238718,ace20c241ee38643c9060f290b215b9d
Yanaki Sushi,MjPJu1r21DfT45ASDxp7tg,13065,0.0,0,,134,49.2658051,-123.1224224,ace20c241ee38643c9060f290b215b9d
Tojo's,hB18YuRjOQRH5ya3tDjanQ,13065,3.5,395,$$$$,192,49.26374,-123.1298,3aed670ccdcd94b966c0f505f8b028c7
Royal Seoul House Korean Restaurant,uDE6F1Zkby0saWz8OBvA3g,13065,3.0,105,$$,195,49.2634961,-123.1317034,3aed670ccdcd94b966c0f505f8b028c7
Vancouver Bookkeeping Service,9zE-mlC3BXL3M52WFl-46w,13065,0.0,0,,42,49.2774949,-123.0806654,91035fe1d70b65c9cb8ec4a007af7c7f
Dosanko,wLgCnQHiGmYKMRk_ZhxJ0A,13065,4.0,100,$$,139,49.28278,-123.09194,1ef5c4ff3f0b09422bb1597fd9d7568b
Top-Valu Food Products,HtQt_D7XuOUPOGoT4sDBig,13065,0.0,0,,187,49.28239,-123.09174,1ef5c4ff3f0b09422bb1597fd9d7568b
Steve's Poké Bar,0wuDUKbssf_OBhX2YsVRhA,13065,4.0,7,,182,49.26603462248346,-123.08444403111935,17a3320a52bcc62161908967f8a06613
Pelican Seafood Restaurant,lSSffQdr913ki1x48jNFbA,13065,3.0,76,$$,155,49.2815811,-123.0661289,aed214941445e0345aa3254805a9e8b8
On Lok,vPxMZ_kXm8aPYAzw5f7_Ow,13065,3.0,81,$$,199,49.2808579,-123.0633046,aed214941445e0345aa3254805a9e8b8
Carousel Cafe,69tOHXS-BCBff0wrv7bTMw,13065,0.0,0,,153,49.2548777,-123.0658778,0a43242bee10cd33f539af2c1bf5ecbf
Les Faux Bourgeois,w3HSOOqJednBOYbO3fajvQ,13065,4.0,450,$$,75,49.2572813531481,-123.089767330802,08c7a90bf297fde8c1f1156db13987d4
Osteria Savio Volpe,gNCSbTm3unsdztncbgSv5A,13065,4.0,403,$$$,113,49.2574913,-123.0909344,08c7a90bf297fde8c1f1156db13987d4
Sal y Limón,bExSibVFQPQdq3-xGyIEqw,13065,4.0,644,$$,116,49.2569043786921,-123.08924632997,08c7a90bf297fde8c1f1156db13987d4
Los Cuervos Taqueria Y Cantina,letTAjvw5Z0wiRqgdNMG5g,13065,4.0,181,$$,121,49.2574755005862,-123.091043941677,08c7a90bf297fde8c1f1156db13987d4
Matchstick Coffee,b8hOuhfKH_NSacq22pw8Sg,13065,4.0,208,$,92,49.257302653286,-123.090361582581,08c7a90bf297fde8c1f1156db13987d4
Straight Outta Brooklyn NYC Pizzeria,vSoUsOy5kosJowfGwxjfxA,13065,4.0,68,$,127,49.25682,-123.08919,08c7a90bf297fde8c1f1156db13987d4
The Gluten Free Epicurean,FHT6xHg8qhbJskGPnqOl7w,13065,4.0,129,$,99,49.2573863,-123.0906877,08c7a90bf297fde8c1f1156db13987d4
The Lion's Den Cafe,Z7el8tD1s7WF7p9J_D6BQg,13065,4.0,71,$,81,49.257273,-123.089984,08c7a90bf297fde8c1f1156db13987d4
Ba Le Sandwich Shop,GLuvX8GVye2RUi94GcHJKA,13065,4.0,139,$,127,49.25682,-123.08919,08c7a90bf297fde8c1f1156db13987d4
The Peri Peri Shack,GqophJdoCqSZRvgzKiU17Q,13065,4.0,18,,183,49.25627292573432,-123.08909775135942,08c7a90bf297fde8c1f1156db13987d4
Alenka European Foods,KwyZOrjzb-uChHksJ3jcyQ,13065,4.0,21,$,125,49.2568169976042,-123.089381711643,08c7a90bf297fde8c1f1156db13987d4
My Hahn Restaurant,GMvORiJXEdbT_tKH-PLSfQ,13065,0.0,0,,148,49.2569465,-123.0906536,08c7a90bf297fde8c1f1156db13987d4
The Narcissus,8nZI2PRKjzT_pdWJU0K4VQ,13065,4.5,12,,110,49.28423,-123.06998,c52e51e3288a00993bdf892fdc2c2c2c
Franklin Food Lab,AKOSkyBc-T-iQ9JUKbsJWA,13065,5.0,2,,193,49.282175145572765,-123.07238928970615,c52e51e3288a00993bdf892fdc2c2c2c
Teahouse in Stanley Park,kK4imiJdmPKJBgQXoQ_VTg,13065,4.0,431,$$$,181,49.3012529987012,-123.157079257071,45a4c865db23e1cad0209afa5a799de0
Oca Pastificio,cVTbruAN8w8rB6pm7MR0YQ,13065,4.0,42,,51,49.273392,-123.0693298,b562f08327af465e4531e20226789489
Havana,HTJTTobu5hXM2Xgqj8OBgg,13065,3.5,371,$$,80,49.273708,-123.069271,b562f08327af465e4531e20226789489
Don Oso's,IVa3Osaz6QtPAB2r31kBDQ,13065,3.5,15,,29,49.27283657548601,-123.06985180824996,b562f08327af465e4531e20226789489
Memphis Blues,iHHnZb1YEP9vRXOc6-7Nrw,13065,3.5,127,$$,82,49.2723737,-123.0693711,b562f08327af465e4531e20226789489
Harbour Oyster + Bar,ulsLlVcGvuLOSN0n3bR2zg,13065,4.0,71,$$,143,49.2718946138822,-123.069181591272,b562f08327af465e4531e20226789489
Sula Indian Restaurant,l0cLT4c59zu0H8MVwp7vqA,13065,4.0,250,$$,156,49.2745279,-123.0693263,b562f08327af465e4531e20226789489
Famoso Neapolitan Pizzeria,mcSFyiIU-ekK-wFm-I_mNg,13065,3.5,247,$$,95,49.272346,-123.0693715,b562f08327af465e4531e20226789489
Marcello,2ACWJP0YGyKhpU8vMUWPBg,13065,3.0,332,$$,122,49.27204590144254,-123.06943334795373,b562f08327af465e4531e20226789489
The Charlatan,jKpHTUzCoXBFjdg8PMCsVA,13065,3.5,155,$$,173,49.2717298,-123.0697249,b562f08327af465e4531e20226789489
Kulinarya,LtAYiTJQIQXA2bxTpHZBJQ,13065,4.0,62,$$,146,49.2744901,-123.0693269,b562f08327af465e4531e20226789489
Pacific Poke,KEloJNHTaE-OLkvWIrqgjA,13065,3.5,8,,54,49.2733552,-123.0693503,b562f08327af465e4531e20226789489
Viet Family- The Vegan House,je53sE7RTFj9Nix0aatH3g,13065,5.0,16,,142,49.27182591723078,-123.06974969875908,b562f08327af465e4531e20226789489
Tandoori Palace,iPlWTqPac_B9qpS0Y_AhcQ,13065,3.5,127,$$,164,49.2717682,-123.0697249,b562f08327af465e4531e20226789489
Ginger Sushi,nV6nLxww8P3xAshYZmalZA,13065,4.0,79,$$,155,49.2717778,-123.0697249,b562f08327af465e4531e20226789489
Thai Basil,WWTTonzyOSAs4bIlGxux3Q,13065,4.0,43,$,118,49.27416,-123.06996,b562f08327af465e4531e20226789489
Sake Maki,7EKeO01Wmal-9tLqVUXUvA,13065,3.5,72,$$,137,49.2718728,-123.0694551,b562f08327af465e4531e20226789489
Cafe Du Soleil,HEv5_DxHSWCcpAUtKbBRKA,13065,4.0,81,$,73,49.2722732,-123.0697861,b562f08327af465e4531e20226789489
Santa Barbara Market,CnNMviSZlQGhWh8NcUOyRw,13065,4.0,58,$$,72,49.2727132,-123.0693659,b562f08327af465e4531e20226789489
Vera's On The Drive,6wzztDGSDViDWp27tBGoSQ,13065,3.5,28,$$,142,49.2718323,-123.0696006,b562f08327af465e4531e20226789489
Community Taps + Pizza,Y0gFX8lk1vOfmc2OYnjsBA,13065,3.5,7,,107,49.27406866720594,-123.0698051,b562f08327af465e4531e20226789489
Merci Beaucoup Cafe,9k97YeY5BAr76bI5N1HKJA,13065,4.0,24,,177,49.2714944,-123.0694551,b562f08327af465e4531e20226789489
Auntie Jen's Pizzeria,-3jnPOLStOTqf7pF_4mKRg,13065,4.0,13,,142,49.27181,-123.0698,b562f08327af465e4531e20226789489
Sweet Cherubim,MILJRoy07iy0bZUnR0G_jg,13065,3.5,112,$$,174,49.2746855,-123.0697373,b562f08327af465e4531e20226789489
Toscani Coffee Bar,QxuX7zibghAjZTAgxE-WXg,13065,3.5,15,$,61,49.2725626,-123.0697222,b562f08327af465e4531e20226789489
The Pizza Castle & Indian Curry,5DHwjdoJPV8i8IFoqzT-SA,13065,4.0,18,,172,49.2746537,-123.0693243,b562f08327af465e4531e20226789489
Joe's Cafe Bar,KJ0Ao8jHxf7SJXUToPeIGQ,13065,3.5,25,$,120,49.2743894,-123.0693285,b562f08327af465e4531e20226789489
Cozen,Wvzy3EHqvgFw4vixKirsAg,13065,4.5,8,,164,49.2715238,-123.0697249,b562f08327af465e4531e20226789489
Hirado Sushi,gla7RuGJHuJ5xV8Nt-zVzQ,13065,2.5,35,$,143,49.2716668,-123.0697249,b562f08327af465e4531e20226789489
Abruzzo Cafe,MeFTMrfy476JsWHR6wEJbA,13065,2.0,2,,61,49.2727942,-123.0697782,b562f08327af465e4531e20226789489
Portuguese Club of Vancouver,p7fplGQcl_LKK2dWgiWAEw,13065,3.5,22,$$,138,49.2744271,-123.0693279,b562f08327af465e4531e20226789489
Caffè Soccavo,0IwjuFljIWqyQobixrWdeA,13065,0.0,0,,61,49.272595,-123.069839,b562f08327af465e4531e20226789489
Paris Bakery,QrmiSkUQeW2MjeNixp0blA,13065,3.5,13,$,121,49.2719408,-123.0697249,b562f08327af465e4531e20226789489
Tamam To Go,HwdvolydGGGqQSpheBrNsA,13065,5.0,1,,175,49.27461,-123.06918,b562f08327af465e4531e20226789489
Adam's Pizza,wIuJSc6VIqmUwy5ApXaWVw,13065,0.0,0,,91,49.2722336,-123.0697867,b562f08327af465e4531e20226789489
Finch's Market,VTj_-DbTJX-hre5w7rIMlg,13065,4.0,37,$$,165,49.2785699636665,-123.093410391164,9a48ca226f82f52d02707b054ebc7e9e
Nuba - Mount Pleasant,8gFXr_yaSpJfb_QUEpiJoA,13065,4.0,158,$$,110,49.26797,-123.10171,9a5478470b56379c31cf4e671584d5cc
R&B Brewing,76rysffTZ06sCdlyqY9oQQ,13065,4.0,68,$,106,49.267258962520614,-123.10330380118866,9a5478470b56379c31cf4e671584d5cc
Argo Café,dPO65yVqcXagE8FUbPNruA,13065,4.0,82,$$,102,49.2684636930376,-123.104528329935,9a5478470b56379c31cf4e671584d5cc
R&B Ale & Pizza House,EichPhjYtOZDEC4KTUTxPw,13065,4.0,23,$$,120,49.2671,-123.10356,9a5478470b56379c31cf4e671584d5cc
Blaze Gourmet Burgers,_5cGjnjBRku08-LcEjv0cA,13065,4.5,22,$$,179,49.2666437,-123.1037431,9a5478470b56379c31cf4e671584d5cc
Swiss Bakery,Yw2rJt8KaFOaaaqMrZUUsw,13065,4.0,123,$,111,49.2683832324201,-123.10165840848,9a5478470b56379c31cf4e671584d5cc
Glory Juice,t6HuIdPuTn6ywi1cDLmIeg,13065,3.5,44,$,95,49.2690951,-123.1030816,9a5478470b56379c31cf4e671584d5cc
Hon's Wonton House,stpponw4dmBTnELEpmiMSQ,13065,3.0,58,,155,49.2694661422672,-123.104120051588,9a5478470b56379c31cf4e671584d5cc
Manna Sushi,C_1QbwlLo-CByZ69ngsWRQ,13065,2.5,80,$$,138,49.2691055,-123.104496,9a5478470b56379c31cf4e671584d5cc
Tractor,C8K5GvhWNYY4zBijgekT3g,13065,3.0,47,$$,154,49.2695864693285,-123.102856641256,9a5478470b56379c31cf4e671584d5cc
The Garden Strathcona,viUq9OyTgOGgcdyuNoey3w,13065,5.0,36,,64,49.28076,-123.08563,b428c0e64d9b9fdb3bf8e85c95ffdf6b
Liquids And Solids,djKcHZcez6Mtxfdk_i-kLw,13065,4.0,20,$,56,49.28135,-123.08461,b428c0e64d9b9fdb3bf8e85c95ffdf6b
VV Tapas Lounge,6qrRd4bXgVcJjXQEnpfi-Q,13065,5.0,11,,118,49.2811633,-123.0830466,b428c0e64d9b9fdb3bf8e85c95ffdf6b
S2 Cafe House,c5huGd2UwzDEsyaZ3bWm7Q,13065,3.5,10,$,53,49.2807503,-123.0853195,b428c0e64d9b9fdb3bf8e85c95ffdf6b
Aussie Pie Guy,X2ID8p7zDWYCDkdg5vpP1A,13065,3.5,39,$$,168,49.2801095059671,-123.082728725375,b428c0e64d9b9fdb3bf8e85c95ffdf6b
HoliDrink Cafe,CfpXauvU3ILQsoB9eUAZMw,13065,0.0,0,,107,49.28132,-123.08271,b428c0e64d9b9fdb3bf8e85c95ffdf6b
Prospect Point,fnGjBA5bYSBGxGjyjqfXYg,13065,3.5,82,$$,98,49.3128081868922,-123.142869863626,844aa75af0d3235a86ff827c81395afd
Nuba in Yaletown,0bfwNvbJ58pO3TTkZIcr1A,13065,4.0,99,$$,28,49.275922840711004,-123.1245237819059,e9b37f2d9b7b2e2e3ade73f13acb69b2
The Flying Pig,NdEPf2Ls5Ql3_nkwjqKvXA,13065,4.0,1257,$$,184,49.27501,-123.122,e9b37f2d9b7b2e2e3ade73f13acb69b2
Rodney's Oyster House,xYDUAD4JGLVnQUB2i8njBA,13065,4.0,807,$$,161,49.2744326,-123.1232482,e9b37f2d9b7b2e2e3ade73f13acb69b2
Tasty Indian Bistro,UwQyc3prSQp3pnvdSSmlaQ,13065,4.0,199,$$,154,49.2744011,-123.1236818,e9b37f2d9b7b2e2e3ade73f13acb69b2
Chancho Tortilleria,JUbIWP2Ky62dA7JFdgEW3Q,13065,4.0,90,$$,66,49.27618,-123.12515,e9b37f2d9b7b2e2e3ade73f13acb69b2
Brix & Mortar,kZN_-zju67rEQVUSaewRhA,13065,4.0,317,$$$,179,49.27561628359493,-123.1219105,e9b37f2d9b7b2e2e3ade73f13acb69b2
Cioppino's Mediterranean Grill,RIb01mB9pEJ3yeebyHb4XA,13065,4.0,194,$$$$,189,49.275522,-123.121794,e9b37f2d9b7b2e2e3ade73f13acb69b2
Manoush'eh,K1nbiOrySlw_-XG-3NmErQ,13065,5.0,225,$,145,49.27667072314417,-123.12570086148997,e9b37f2d9b7b2e2e3ade73f13acb69b2
Happy Noodle House,V4w2oMsWgZSmGKbbku9lKA,13065,4.5,66,$$,149,49.27664,-123.12578,e9b37f2d9b7b2e2e3ade73f13acb69b2
Cactus Club Cafe,f7Sr6NKUtQYCZZSvYiNvtA,13065,3.5,211,$$$,125,49.27522297469047,-123.12280441720084,e9b37f2d9b7b2e2e3ade73f13acb69b2
Craffles,rJbPq2B7xVaJW3myVANfRw,13065,3.5,13,,38,49.27596077867032,-123.12470816072846,e9b37f2d9b7b2e2e3ade73f13acb69b2
Glory Juice,UA2HtWb_UmpbGgAJn_LzNw,13065,4.0,14,,69,49.275634,-123.123459,e9b37f2d9b7b2e2e3ade73f13acb69b2
Hapa Izakaya,tdcbwxEP8JZfgx1NaRS9-g,13065,3.5,210,$$,147,49.2752858645102,-123.12245045952,e9b37f2d9b7b2e2e3ade73f13acb69b2
Basil Pasta Bar,dzGssH8MPm6Z8oM8AxRBaQ,13065,3.5,398,$$,163,49.2765809,-123.1255818,e9b37f2d9b7b2e2e3ade73f13acb69b2
Hundy,btfq1h29spNPLu88d0W73g,13065,3.5,69,,163,49.27562509135987,-123.1221336,e9b37f2d9b7b2e2e3ade73f13acb69b2
Sushi Maro,ApjtI5aULYXY4IXm_WNVjw,13065,3.5,86,$$,200,49.27491673721424,-123.12189090000005,e9b37f2d9b7b2e2e3ade73f13acb69b2
Two Parrots Bar & Grill,rQLp-1tgR1uhPbhJ3mqChw,13065,3.5,115,$$,196,49.2770096,-123.1261846,e9b37f2d9b7b2e2e3ade73f13acb69b2
Yamato Sushi Restaurant,6T0ceMqSLXHyLtsJLlEGbg,13065,3.5,256,$,137,49.2766,-123.12572,e9b37f2d9b7b2e2e3ade73f13acb69b2
Zab Zaab Thai Cuisine,zSVlSPVRWk2I9u28cE8brw,13065,4.5,15,,128,49.27493,-123.12321,e9b37f2d9b7b2e2e3ade73f13acb69b2
Buddha Chay Restaurant,_F94SBenBRQjumDQ0snVEA,13065,4.5,8,,161,49.27425875418606,-123.1239674,e9b37f2d9b7b2e2e3ade73f13acb69b2
Yaletown Gelato,0N9E1acBabh4u4bZ_tcrBw,13065,4.0,71,$$,103,49.27492,-123.12321,e9b37f2d9b7b2e2e3ade73f13acb69b2
Grab N Go,XQrDcM6Slk65d1sjxky-lQ,13065,5.0,5,,132,49.2748939789729,-123.12301054900007,e9b37f2d9b7b2e2e3ade73f13acb69b2
Capo & The Spritz,NqNVJzRLCVojpC_qk9QQeQ,13065,3.5,28,,165,49.2748359,-123.1228907,e9b37f2d9b7b2e2e3ade73f13acb69b2
O-Cha Tea Bar,bCcEVbCMLDBBCD3-CAE91g,13065,4.5,32,$,192,49.2760572,-123.121789,e9b37f2d9b7b2e2e3ade73f13acb69b2
Kinkura Sushi + Sake,6waQM0zOHwhxHcwcjf4rvw,13065,4.5,6,,168,49.2768209,-123.1259399,e9b37f2d9b7b2e2e3ade73f13acb69b2
Perfecto Cafe,SIUVUP4JVjlSYghzug84Mw,13065,4.0,15,$$,134,49.27706,-123.12504,e9b37f2d9b7b2e2e3ade73f13acb69b2
Tequila Cocina,a58wRN85EyXGMAn_rWxSDQ,13065,4.0,13,,195,49.27674292097157,-123.1265439838171,e9b37f2d9b7b2e2e3ade73f13acb69b2
Saigon Xua,YHaZG7cn8_YmmgDq1Ynidg,13065,3.0,16,,153,49.2743960598955,-123.12363240352406,e9b37f2d9b7b2e2e3ade73f13acb69b2
Grand Chinese Yaletown Restaurant,2M_-l_b0_SaoVsIKx1ZEOw,13065,3.5,31,,137,49.2746237358146,-123.123414612796,e9b37f2d9b7b2e2e3ade73f13acb69b2
Scarlet Tapas Lounge,4FJSU0eLE7mPzOc7GpvNXQ,13065,2.0,5,$$,193,49.2768837,-123.126335,e9b37f2d9b7b2e2e3ade73f13acb69b2
Tre Galli Gelato Caffe,QEfis06p6udDdabqxjXmCg,13065,3.5,5,,102,49.275013,-123.1234207,e9b37f2d9b7b2e2e3ade73f13acb69b2
Persian Tea House,RKFM6MkGY26lB4c4g9BzhQ,13065,3.5,3,,173,49.2768555,-123.1259883,e9b37f2d9b7b2e2e3ade73f13acb69b2
Mi Mi's Chinese Food,W_kOPEA9MvSwpeLipfC-Vw,13065,0.0,0,,149,49.27664,-123.12578,e9b37f2d9b7b2e2e3ade73f13acb69b2
Le Crocodile Restaurant,GSg5v3ZJxmMPrlAXqat8tA,13065,4.5,433,$$$$,29,49.2822815356982,-123.124911131657,32f70f7ae14ba87523c6286a6c4d5c37
Boulevard,DJplkq9x17wm2V4vIT4brg,13065,4.0,275,$$$,63,49.2827182,-123.123884,32f70f7ae14ba87523c6286a6c4d5c37
